HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4279,1038,617,210,875,118,625,981,126,17,2023-02-24-07-35
4196,1101,620,206,879,120,519,944,115,18,2023-02-24-07-45
4347,1044,650,222,970,119,578,977,109,19,2023-02-24-07-57
4667,1090,789,274,983,120,753,929,101,22,2023-02-24-08-10
4548,992,951,326,1059,140,662,759,104,21,2023-02-24-08-24
4658,834,1309,422,1176,120,489,733,96,21,2023-02-24-08-39
4660,766,1630,464,1197,123,317,645,90,15,2023-02-24-08-52
4754,784,1659,465,1237,125,320,663,77,14,2023-02-24-09-04
4798,787,1683,465,1224,124,307,715,69,13,2023-02-24-09-16
4785,770,1701,467,1276,125,308,650,67,13,2023-02-24-09-28
4651,635,1667,462,1273,127,352,646,66,12,2023-02-24-09-40
4806,735,1666,472,1337,137,360,633,63,12,2023-02-24-09-54
4879,726,1671,493,1340,147,410,659,62,11,2023-02-24-10-08
4741,720,1543,469,1284,144,501,615,71,7,2023-02-24-10-31
4675,723,1367,397,1260,147,581,663,74,7,2023-02-24-10-45
4495,811,1204,352,1235,147,514,645,79,7,2023-02-24-10-57
4893,1007,1044,321,1156,148,793,802,85,6,2023-02-24-11-18
4517,1085,928,273,921,138,705,778,89,11,2023-02-24-11-29
4921,1190,949,289,981,135,878,827,85,11,2023-02-24-11-42
4625,1031,977,327,961,133,693,871,84,8,2023-02-24-11-54
4628,1011,974,322,902,129,792,852,90,7,2023-02-24-12-06
4931,1172,1014,335,960,133,858,827,89,11,2023-02-24-12-21
4933,1113,1018,325,1004,132,868,829,87,14,2023-02-24-12-37
4878,1065,1044,348,1010,131,875,775,90,19,2023-02-24-12-50
4916,1115,1065,345,1021,130,875,727,92,21,2023-02-24-13-06
4406,923,1045,305,1013,134,742,562,99,22,2023-02-24-13-17
4892,953,1331,448,1065,134,772,653,99,19,2023-02-24-13-30
4959,882,1581,501,1053,133,690,655,95,3,2023-02-24-13-52
4662,843,1511,462,1021,133,582,607,96,2,2023-02-24-14-02
4933,859,1611,502,1088,144,643,635,95,2,2023-02-24-14-21
4924,854,1615,487,1083,132,663,604,97,8,2023-02-24-14-33
4923,875,1614,487,1073,130,659,599,96,7,2023-02-24-14-46
4948,867,1637,519,1070,127,651,622,94,7,2023-02-24-15-00
4916,882,1564,505,1036,128,684,644,98,8,2023-02-24-15-13
4925,892,1516,462,1053,124,692,647,113,12,2023-02-24-15-27
4884,901,1382,407,1033,122,748,691,114,15,2023-02-24-15-40
4960,971,1331,372,1026,122,760,768,85,19,2023-02-24-15-56
4893,1017,1177,339,985,122,794,808,94,18,2023-02-24-16-11
4629,1115,998,315,908,122,737,736,87,48,2023-02-24-16-36
4948,1162,982,317,960,126,844,883,91,26,2023-02-24-16-50
4904,1156,989,335,908,127,825,896,103,27,2023-02-24-17-13
4870,1111,1025,336,913,130,849,828,116,28,2023-02-24-17-30
4875,1102,998,337,929,132,853,856,111,26,2023-02-24-17-45
4825,1067,1001,334,909,129,848,850,121,29,2023-02-24-18-02
4851,1072,1030,337,888,127,876,839,123,23,2023-02-24-18-16
4528,999,1028,322,859,128,727,762,129,24,2023-02-24-18-36
4743,1058,1055,347,906,127,880,695,126,23,2023-02-24-18-48
4834,1035,1076,350,897,128,910,764,129,23,2023-02-24-19-01
4873,1033,1068,345,914,130,918,787,131,22,2023-02-24-19-14
4809,1067,1057,345,886,128,917,733,129,20,2023-02-24-19-27
4782,1029,1025,341,884,125,937,767,122,18,2023-02-24-19-42
4772,1093,998,337,899,127,926,721,120,15,2023-02-24-19-55
4652,1070,967,326,907,125,801,769,116,22,2023-02-24-20-09
4740,1073,927,320,911,123,919,764,117,29,2023-02-24-20-21
4667,1044,906,315,928,123,868,781,112,28,2023-02-24-20-33
4645,1017,890,313,935,121,845,819,112,27,2023-02-24-20-45
4784,1116,875,308,950,119,901,803,113,26,2023-02-24-20-56
4794,1164,849,292,945,120,955,742,112,27,2023-02-24-21-09
4907,1190,825,286,944,120,960,847,114,27,2023-02-24-21-21
4847,1197,724,259,942,120,1011,842,107,24,2023-02-24-22-16
4763,1128,710,261,961,121,980,856,104,24,2023-02-24-22-29
4843,1174,714,282,976,119,991,861,103,24,2023-02-24-22-43
4489,1143,683,252,950,118,722,863,104,24,2023-02-24-22-54
4775,1129,704,277,950,119,945,917,107,23,2023-02-24-23-13
4801,1184,698,274,928,119,938,922,108,23,2023-02-24-23-25
4658,1125,694,274,950,119,842,916,108,23,2023-02-24-23-37
4567,1168,662,244,934,120,751,921,109,22,2023-02-24-23-47
4641,1189,688,270,953,121,772,908,107,24,2023-02-24-23-58
4742,1179,662,243,951,120,909,910,107,24,2023-02-25-00-10
4757,1177,683,268,938,120,894,930,109,26,2023-02-25-03-43
4415,1126,688,271,937,119,653,873,110,28,2023-02-25-04-21
4463,1191,694,276,934,116,585,916,112,31,2023-02-25-05-00
4838,1197,694,277,932,117,984,892,115,24,2023-02-25-05-39
4667,1172,673,256,920,121,846,919,117,20,2023-02-25-06-17
4795,1198,695,278,931,122,906,928,117,20,2023-02-25-06-29
4778,1199,695,278,931,122,915,904,116,18,2023-02-25-06-40
4663,1140,694,278,938,122,810,949,114,18,2023-02-25-06-51
4746,1179,695,278,941,122,885,915,113,18,2023-02-25-07-02
4754,1180,700,279,945,122,883,915,112,19,2023-02-25-07-14
4804,1187,693,270,945,122,943,905,111,20,2023-02-25-07-25
4619,1115,704,279,936,123,826,906,110,22,2023-02-25-07-37
4590,1097,714,281,967,122,788,894,110,20,2023-02-25-07-47
4328,1052,729,282,991,121,567,862,105,22,2023-02-25-07-58
4671,1059,789,287,1011,121,805,876,107,24,2023-02-25-08-11
4498,869,1040,311,1090,125,539,831,103,26,2023-02-25-08-26
4731,633,1483,381,1212,125,497,781,108,17,2023-02-25-08-43
4823,618,1641,395,1282,138,407,759,107,9,2023-02-25-08-55
4831,631,1684,416,1272,138,421,728,86,9,2023-02-25-09-08
4770,637,1707,403,1265,137,402,664,87,8,2023-02-25-09-27
4766,659,1676,391,1268,136,423,648,87,5,2023-02-25-09-40
4760,678,1660,389,1258,137,426,650,82,6,2023-02-25-09-52
4866,709,1681,388,1258,139,410,716,86,6,2023-02-25-10-05
4855,721,1686,386,1259,138,417,675,90,7,2023-02-25-10-18
4877,770,1664,391,1228,137,435,674,100,6,2023-02-25-10-39
4940,1101,1284,330,1080,153,626,743,99,7,2023-02-25-11-15
4906,1455,846,288,995,143,753,735,110,12,2023-02-25-11-30
4950,1465,830,291,990,141,762,778,114,11,2023-02-25-11-45
4883,1367,814,296,976,138,811,790,112,13,2023-02-25-12-01
4975,1383,853,294,988,136,818,808,111,14,2023-02-25-12-15
4828,1338,857,281,1015,153,778,719,108,13,2023-02-25-12-28
4606,1137,872,294,1004,153,735,738,107,13,2023-02-25-12-39
4932,1289,912,317,1040,146,789,777,111,14,2023-02-25-12-51
4971,1356,958,321,999,146,785,756,103,14,2023-02-25-13-04
4769,1322,1027,347,1100,147,479,720,106,15,2023-02-25-13-20
4985,1156,1383,411,1104,140,520,699,109,14,2023-02-25-13-36
5028,1044,1756,438,1141,139,358,617,108,4,2023-02-25-13-51
4938,1039,1739,374,1153,144,333,579,92,3,2023-02-25-14-03
4996,1052,1806,438,1105,146,349,589,92,3,2023-02-25-14-15
5073,1080,1823,441,1134,145,362,583,88,3,2023-02-25-14-28
5083,1084,1825,440,1128,148,365,588,90,3,2023-02-25-14-42
4966,1056,1816,431,1128,145,345,532,86,3,2023-02-25-14-54
5002,1040,1823,434,1110,143,374,561,91,3,2023-02-25-15-07
4906,961,1818,459,1102,141,370,562,90,3,2023-02-25-15-21
4926,992,1723,449,1079,139,416,615,97,4,2023-02-25-15-35
4939,1094,1606,451,1046,137,476,620,93,4,2023-02-25-15-50
4963,1214,1401,438,1018,135,578,642,104,6,2023-02-25-16-06
4948,1375,942,331,1021,132,786,695,113,16,2023-02-25-16-19
4628,1272,843,242,982,132,783,602,125,21,2023-02-25-16-30
4952,1366,906,317,1005,131,829,716,110,20,2023-02-25-16-45
4665,1375,887,279,997,135,586,678,116,26,2023-02-25-16-57
4866,1347,910,307,970,135,821,673,121,24,2023-02-25-17-10
4907,1351,897,293,940,135,832,731,133,23,2023-02-25-17-24
4841,1376,866,286,924,136,792,726,136,21,2023-02-25-17-37
4851,1302,860,285,923,137,846,767,139,14,2023-02-25-17-50
4797,1348,835,286,931,137,773,755,141,14,2023-02-25-18-04
4878,1334,853,289,904,136,887,740,145,15,2023-02-25-18-17
4882,1328,889,293,894,138,844,785,129,13,2023-02-25-18-31
4839,1275,896,294,928,153,854,747,127,12,2023-02-25-18-44
4789,1275,892,293,921,152,753,802,134,12,2023-02-25-18-58
4897,1277,908,317,926,145,878,765,133,10,2023-02-25-19-11
4940,1281,890,311,922,139,966,743,129,9,2023-02-25-19-24
4851,1256,883,310,937,162,910,731,126,8,2023-02-25-19-36
4775,1222,831,304,946,156,923,725,117,11,2023-02-25-19-52
4751,1161,767,279,945,152,994,762,110,12,2023-02-25-20-15
4738,1182,777,295,959,150,917,780,108,15,2023-02-25-20-26
4964,1259,770,287,966,146,1057,789,109,14,2023-02-25-20-38
4899,1258,762,286,964,144,998,796,107,14,2023-02-25-20-51
4905,1268,718,277,975,141,1070,753,106,15,2023-02-25-21-04
4661,1190,714,281,912,135,905,817,108,15,2023-02-25-21-15
4888,1254,723,301,930,134,1021,833,109,18,2023-02-25-21-28
4700,1162,666,293,919,132,931,897,105,20,2023-02-25-21-57
4642,1206,650,286,855,128,917,889,106,19,2023-02-25-22-08
4900,1250,640,284,895,128,1055,932,109,19,2023-02-25-22-19
4578,1286,621,276,868,128,749,927,109,18,2023-02-25-22-31
4998,1259,611,268,900,128,1165,936,107,20,2023-02-25-22-43
4233,1180,598,261,894,130,549,884,108,20,2023-02-25-23-01
4131,1117,566,231,889,131,632,798,109,20,2023-02-25-23-11
4836,1261,589,254,897,133,1067,895,109,18,2023-02-25-23-22
4723,1274,582,249,890,133,951,897,111,18,2023-02-25-23-33
4971,1318,571,239,885,131,1127,938,114,18,2023-02-25-23-45
5010,1328,564,233,887,130,1112,984,116,19,2023-02-25-23-58
4736,1311,577,247,864,130,932,918,115,19,2023-02-26-00-09
4961,1333,572,242,849,132,1092,981,116,18,2023-02-26-00-49
4754,1289,575,245,825,126,957,970,119,19,2023-02-26-01-28
4976,1327,575,245,862,126,1095,981,118,18,2023-02-26-02-08
4233,1112,581,252,863,124,694,843,121,19,2023-02-26-02-45
4899,1283,577,250,865,128,1144,890,120,20,2023-02-26-03-35
4312,1183,578,250,869,129,651,893,120,18,2023-02-26-04-13
4602,1164,572,245,859,130,913,955,121,18,2023-02-26-04-52
4616,1270,570,242,864,129,791,983,122,16,2023-02-26-05-30
4726,1305,572,245,870,129,847,994,121,17,2023-02-26-05-42
4638,1328,572,245,866,129,749,987,121,15,2023-02-26-05-53
4276,1196,555,228,865,130,574,951,121,14,2023-02-26-06-02
5042,1326,574,246,864,128,1143,1000,121,14,2023-02-26-06-16
4499,1271,574,246,842,128,699,976,122,15,2023-02-26-06-26
4860,1312,574,246,870,128,989,976,123,16,2023-02-26-06-38
4990,1351,580,254,862,126,1076,984,122,15,2023-02-26-06-50
4659,1263,579,253,859,128,876,945,123,14,2023-02-26-07-00
4368,1217,582,253,855,130,603,974,123,14,2023-02-26-07-11
4640,1108,589,253,887,131,992,928,123,13,2023-02-26-07-22
4757,1288,596,255,886,130,899,953,122,13,2023-02-26-07-34
5025,1302,595,250,905,130,1140,946,126,11,2023-02-26-07-47
4915,1229,648,281,924,129,1041,936,125,12,2023-02-26-07-59
4636,1188,738,294,953,130,751,865,129,12,2023-02-26-08-12
4665,1063,889,335,1038,131,789,747,126,13,2023-02-26-08-27
4873,913,1175,364,1103,130,764,775,131,12,2023-02-26-08-41
4788,812,1341,349,1122,130,643,727,131,12,2023-02-26-08-54
5114,847,1457,410,1120,131,784,762,130,14,2023-02-26-09-08
4865,780,1425,398,1105,129,653,756,131,15,2023-02-26-09-20
5032,862,1415,389,1152,158,710,745,133,15,2023-02-26-09-32
5100,863,1424,385,1155,159,780,736,127,15,2023-02-26-09-46
5028,818,1435,381,1147,149,766,720,127,15,2023-02-26-09-59
5047,835,1407,374,1152,146,770,739,129,15,2023-02-26-10-13
4902,799,1333,350,1167,167,745,714,130,14,2023-02-26-10-26
4945,812,1292,346,1164,165,845,691,128,13,2023-02-26-10-40
5015,906,1122,318,1124,155,954,766,130,13,2023-02-26-10-55
4879,967,989,262,1085,153,875,812,138,13,2023-02-26-11-09
4843,1104,887,274,987,148,889,822,141,13,2023-02-26-11-21
4831,1076,903,280,962,144,895,839,144,12,2023-02-26-11-34
4741,1094,880,282,954,136,851,804,145,13,2023-02-26-11-47
4653,1115,878,284,981,142,649,868,147,15,2023-02-26-12-00
4344,962,875,267,903,133,674,778,142,10,2023-02-26-12-11
4567,976,885,272,932,133,837,779,148,10,2023-02-26-12-22
4715,1028,913,277,921,135,818,877,147,11,2023-02-26-12-33
4788,1062,924,284,936,133,810,902,143,11,2023-02-26-12-47
4842,1044,930,279,908,135,918,882,146,14,2023-02-26-12-59
4997,1074,977,272,971,132,964,867,133,11,2023-02-26-13-13
5005,1067,1069,297,984,136,899,834,140,12,2023-02-26-13-28
4921,999,1216,320,1023,157,842,697,132,12,2023-02-26-13-41
4943,918,1361,323,1055,151,813,676,110,10,2023-02-26-13-53
5002,917,1393,331,1069,140,791,704,117,11,2023-02-26-14-06
5067,897,1369,332,1069,138,850,757,114,11,2023-02-26-14-18
4947,867,1401,327,1071,157,873,605,120,10,2023-02-26-14-31
5089,862,1398,320,1072,149,863,768,116,10,2023-02-26-14-44
4970,880,1390,320,1042,147,773,754,122,9,2023-02-26-14-58
4929,895,1366,328,1015,139,785,745,113,10,2023-02-26-15-12
4924,921,1344,330,1010,137,815,713,112,9,2023-02-26-15-26
4960,947,1355,354,1029,135,791,718,111,9,2023-02-26-15-40
4994,939,1342,356,1001,129,826,768,109,9,2023-02-26-15-54
4816,926,1279,335,926,125,772,791,113,9,2023-02-26-16-08
4942,964,1024,277,946,123,1032,856,109,11,2023-02-26-17-08
4793,983,985,271,885,120,886,912,127,15,2023-02-26-17-21
4646,1014,990,268,871,119,799,818,139,15,2023-02-26-17-33
4506,1052,973,257,818,117,728,784,139,12,2023-02-26-17-46
4761,1030,991,255,840,117,966,775,149,10,2023-02-26-18-00
4393,1012,1000,255,816,117,653,755,151,6,2023-02-26-18-11
4794,1052,998,254,828,116,940,813,156,7,2023-02-26-18-24
4773,1098,985,248,812,116,947,790,135,6,2023-02-26-18-47
4801,1092,1007,251,831,117,928,803,135,5,2023-02-26-19-00
4756,1062,995,245,842,117,881,831,140,5,2023-02-26-19-13
4515,1043,987,246,831,118,655,852,142,5,2023-02-26-19-25
4463,992,984,258,833,119,677,857,115,5,2023-02-26-19-37
4455,1002,991,269,842,121,725,781,107,7,2023-02-26-19-48
4561,1061,985,264,865,129,707,833,102,8,2023-02-26-20-00
4993,1083,967,260,859,124,1099,878,99,8,2023-02-26-20-15
4615,1038,889,248,869,124,838,873,100,8,2023-02-26-20-26
4493,1047,873,242,866,124,739,860,101,7,2023-02-26-20-37
4651,1085,876,240,864,126,823,896,100,7,2023-02-26-20-50
4664,1155,781,226,902,127,749,965,104,8,2023-02-26-22-30
4615,1139,759,222,947,126,690,962,108,10,2023-02-26-23-02
4634,1105,759,223,944,124,739,969,107,11,2023-02-26-23-17
5033,789,1553,249,1169,133,719,712,81,10,2023-02-27-08-49
4812,649,1580,165,1213,135,608,692,63,7,2023-02-27-09-33
4952,652,1654,236,1281,136,597,695,67,6,2023-02-27-09-49
5097,700,1674,239,1306,134,690,655,64,8,2023-02-27-10-02
5041,732,1639,252,1307,135,563,718,73,9,2023-02-27-10-25
5098,761,1550,257,1272,133,716,719,73,7,2023-02-27-10-39
4933,782,1527,284,1271,133,551,715,78,9,2023-02-27-10-52
5010,822,1428,284,1264,133,687,719,80,10,2023-02-27-11-07
5049,935,1178,281,1188,133,820,835,84,9,2023-02-27-11-22
4872,1027,1125,284,1116,133,676,838,81,9,2023-02-27-11-37
5111,1073,1070,271,1039,131,869,975,75,10,2023-02-27-11-53
4919,1130,1061,268,1010,129,644,976,87,11,2023-02-27-12-07
4966,1052,1089,268,999,124,852,880,81,13,2023-02-27-12-20
4797,1057,1096,248,997,137,630,915,88,14,2023-02-27-12-50
4770,1032,1132,248,1030,132,540,933,91,12,2023-02-27-13-03
4686,991,1221,262,1101,131,507,767,86,13,2023-02-27-13-17
4870,904,1429,258,1219,129,559,663,83,13,2023-02-27-13-29
5030,874,1672,278,1233,126,470,692,82,7,2023-02-27-13-44
4788,814,1652,290,1236,122,459,543,77,7,2023-02-27-13-56
5128,857,1803,302,1231,123,466,684,82,5,2023-02-27-14-10
5081,848,1799,307,1220,119,496,637,77,4,2023-02-27-14-35
4999,811,1792,305,1200,120,489,620,82,5,2023-02-27-14-49
4910,805,1766,316,1203,118,400,646,84,6,2023-02-27-15-03
4969,795,1726,337,1103,119,439,812,80,14,2023-02-27-15-30
5047,858,1660,339,1118,119,471,840,86,14,2023-02-27-15-43
5115,872,1608,334,1062,120,601,868,86,18,2023-02-27-15-59
5015,910,1347,322,1032,121,678,966,63,19,2023-02-27-16-16
4762,986,1256,314,1030,121,517,878,74,21,2023-02-27-16-29
5083,1016,1243,315,1027,122,753,949,76,19,2023-02-27-16-45
4799,1020,1117,296,985,124,564,1019,75,19,2023-02-27-16-59
4875,1051,1064,292,922,123,688,1049,86,15,2023-02-27-17-13
4926,1048,1036,302,967,122,702,1058,105,10,2023-02-27-17-32
4843,1028,1009,288,964,121,685,1041,104,12,2023-02-27-17-45
4972,973,1056,281,1014,105,820,991,106,12,2023-02-27-18-06
4878,988,1123,320,1067,106,811,778,104,7,2023-02-27-18-21
4940,989,1100,306,1079,107,777,890,100,5,2023-02-27-18-53
4814,975,1090,292,1084,108,709,841,110,5,2023-02-27-19-07
4995,974,1082,288,1092,108,830,906,107,4,2023-02-27-19-24
4968,988,1068,276,1096,106,783,921,105,7,2023-02-27-19-41
4912,1007,1044,272,1102,106,846,800,105,8,2023-02-27-19-56
4862,1124,909,261,1087,101,733,896,106,7,2023-02-27-20-16
4912,1133,851,254,1043,102,732,1034,107,12,2023-02-27-20-31
4806,1173,827,231,996,99,721,970,107,12,2023-02-27-20-46
4903,1187,818,248,997,102,738,1039,114,10,2023-02-27-21-01
4743,1175,802,240,950,102,724,965,117,10,2023-02-27-21-16
4665,1189,767,232,913,105,686,981,118,11,2023-02-27-21-30
4299,1119,732,227,897,104,509,915,116,11,2023-02-27-21-42
4886,1279,702,217,928,103,726,1128,113,10,2023-02-27-21-58
4829,1332,672,207,900,90,688,1114,112,11,2023-02-27-22-26
4646,1319,674,212,891,88,617,1027,108,10,2023-02-27-22-39
4851,1379,657,205,871,86,703,1120,109,12,2023-02-27-23-08
4589,1323,650,199,868,84,588,1039,108,13,2023-02-27-23-26
4951,1382,650,196,864,83,820,1112,110,13,2023-02-27-23-41
4709,1346,650,199,860,81,622,1108,109,14,2023-02-27-23-54
4482,1301,650,197,858,83,581,969,109,14,2023-02-28-00-06
4715,1344,648,197,852,88,654,1092,111,14,2023-02-28-00-47
4867,1367,646,196,842,86,801,1085,115,11,2023-02-28-01-29
4924,1363,641,193,846,89,811,1135,117,11,2023-02-28-02-10
4541,1268,647,195,853,84,590,1053,117,13,2023-02-28-02-59
4398,1301,646,194,830,83,391,1098,118,14,2023-02-28-03-39
4866,1322,643,194,850,84,784,1133,119,15,2023-02-28-04-20
5027,588,1845,342,1452,102,309,745,85,3,2023-02-28-08-21
5027,590,1942,373,1415,102,305,691,81,3,2023-02-28-08-34
5052,552,1995,252,1391,105,343,681,87,3,2023-02-28-08-54
5234,589,2157,360,1389,106,337,670,89,3,2023-02-28-09-08
5038,541,2086,341,1390,106,318,609,91,3,2023-02-28-09-22
4776,502,2064,345,1389,104,297,428,93,3,2023-02-28-09-34
4982,545,2217,357,1377,106,217,549,74,3,2023-02-28-09-48
4705,495,1961,338,1330,102,224,617,73,5,2023-02-28-10-12
4876,483,2133,338,1328,102,256,596,76,4,2023-02-28-10-23
4889,535,2058,322,1327,102,261,627,77,4,2023-02-28-10-35
5063,588,2249,318,1283,100,261,603,75,4,2023-02-28-10-47
4644,584,1782,319,1305,101,265,626,77,5,2023-02-28-10-59
4975,600,2098,318,1287,104,261,652,73,4,2023-02-28-11-12
5036,622,2164,319,1231,105,274,671,69,5,2023-02-28-11-25
4938,920,1582,280,1041,103,436,880,73,6,2023-02-28-11-45
4935,1198,1260,284,901,101,527,934,91,24,2023-02-28-12-05
4951,1212,1259,283,910,101,518,940,87,25,2023-02-28-12-19
4939,1402,955,219,827,103,628,1011,91,25,2023-02-28-12-33
5083,1351,1052,240,893,98,663,1025,71,28,2023-02-28-13-04
4999,942,1653,308,1144,113,416,749,72,23,2023-02-28-13-25
4894,760,1778,307,1355,109,354,573,71,3,2023-02-28-13-37
4728,716,1643,299,1369,108,357,565,74,4,2023-02-28-13-58
4862,677,1870,326,1382,109,350,503,77,3,2023-02-28-14-10
4964,714,1974,344,1379,105,331,492,71,3,2023-02-28-14-23
5020,710,2015,334,1352,103,342,525,73,3,2023-02-28-14-36
4799,650,1812,333,1356,102,356,539,83,3,2023-02-28-14-49
4875,607,1841,335,1394,99,391,552,87,3,2023-02-28-15-10
4449,666,1636,321,1159,103,342,553,89,4,2023-02-28-15-27
4921,695,1864,320,1245,102,419,607,88,3,2023-02-28-15-41
4947,748,1811,358,1178,115,416,698,93,3,2023-02-28-15-56
4553,665,1671,283,1061,99,342,707,104,3,2023-02-28-16-07
4825,734,1851,322,1068,98,401,664,104,3,2023-02-28-16-20
5065,773,1871,367,1076,102,467,786,89,3,2023-02-28-16-33
4814,1194,1167,228,632,73,752,948,112,9,2023-02-28-17-18
4951,1312,1054,213,617,67,789,1054,116,9,2023-02-28-17-33
4844,1456,825,181,584,54,838,1003,121,17,2023-02-28-17-48
4860,1525,817,162,574,51,874,926,125,19,2023-02-28-18-05
4825,1346,957,179,601,71,842,913,135,31,2023-02-28-18-22
4774,1242,1069,184,637,91,859,839,120,8,2023-02-28-18-38
4719,1250,1058,183,648,104,717,924,118,4,2023-02-28-18-52
4949,1288,1076,184,669,101,858,936,117,5,2023-02-28-19-08
4438,904,1050,182,661,89,796,888,120,19,2023-02-28-19-19
4866,1221,1047,182,656,82,863,958,117,4,2023-02-28-19-41
